"GEOID","county","state","Grains..oilseeds..dry.beans..and.dry.peas","Tobacco","Cotton.and.cottonseed","Vegetables..melons..potatoes..and.sweet.potatoes","Fruits..tree.nuts..and.berries","Nursery..greenhouse..floriculture..and.sod","Cut.Christmas.trees.and.short.rotation.woody.crops","Other.crops.and.hay","Poultry.and.eggs","Cattle.and.calves","Milk.from.cows","Hogs.and.pigs","Sheep..goats..wool..mohair..and.milk","Horses..ponies..mules..burros..and.donkeys","Aquaculture","Other.animals.and.other.animal.products","Other","farmentropy","Number.of.Farms","Land.in.Farms","Average.Size.of.Farm","Market.Value.of.Products.Sold","Average.Per.Farm","Government.Payments","Average.Per.Farm.Receiving.Payments","Number.of.Farms.07","Land.in.Farms.07","Average.Size.of.Farm.07","Market.Value.of.Products.Sold.07","Average.Per.Farm.07","Government.Payments.07","Average.Per.Farm.Receiving.Payments.07","spendingperacre","spendingperfarm","changenumfarms","changelandfarms","dominantcomm"
"01001","Autauga","Alabama",1870,NA,5465,1070,NA,NA,NA,1993,NA,5988,NA,3,119,153,NA,NA,3150,1.69037466631323,389,111504,287,19811000,50929,1245000,10039,415,110464,266,16768000,40405,1357000,11502,1.04787890425593,4.00169045423215,-26,1040,10
"01003","Baldwin","Alabama",17401,NA,7344,NA,NA,36943,NA,44800,NA,NA,220,4,59,504,NA,66,28221,1.50698047628883,989,192320,194,135562000,137069,2649000,10036,1139,189815,167,100332000,88087,5144000,16755,1.13905750797459,4.00156065264257,-150,2505,8
"01005","Barbour","Alabama",1995,NA,4904,NA,945,435,NA,6298,83809,5581,NA,NA,123,NA,NA,37,229,0.811136409885457,571,204258,358,104356000,182761,1806000,5059,623,199129,320,71413000,114628,2647000,7003,0.946538670795968,3.70406467940857,-52,5129,9
"01007","Bibb","Alabama",NA,NA,NA,33,12,NA,NA,455,NA,1924,NA,NA,8,73,NA,NA,NA,0.716512275010399,189,56276,298,NA,NA,138000,5103,211,38093,181,NA,NA,61000,2783,0.389555865436395,3.70782556833223,-22,18183,10
"01009","Blount","Alabama",2369,NA,1203,5116,625,709,NA,2406,153682,11721,NA,28,65,218,NA,49,0,0.614415105343074,1241,146189,118,178191000,143586,897000,3785,1414,151282,107,160244000,113327,583000,2700,0.787877747706985,3.57806588383609,-173,-5093,9
"01011","Bullock","Alabama",1217,NA,NA,185,336,NA,NA,NA,17573,NA,NA,NA,16,NA,NA,1,35221,0.785428590587892,273,164600,603,54549000,199813,721000,8389,277,133951,484,40796000,147278,1074000,12630,0.641505433843178,3.92371019439656,-4,30649,17
"01013","Butler","Alabama",NA,NA,NA,223,206,NA,NA,2500,102883,2253,NA,NA,31,NA,NA,12,2040,0.330685948691152,407,88398,217,110148000,270633,355000,3318,490,92581,189,95237000,194360,633000,4274,0.603785913820184,3.52087638168834,-83,-4183,9
"01015","Calhoun","Alabama",2307,NA,2806,123,151,4587,NA,929,74444,3502,315,NA,47,640,NA,108,2424,0.872045003094833,592,81265,137,92383000,156052,406000,3945,735,76201,104,69061000,93960,391000,3989,0.698622493883553,3.59604700754544,-143,5064,9
"01017","Chambers","Alabama",315,NA,NA,127,NA,558,NA,643,28,5916,240,27,27,64,NA,12,383,1.15620092097316,301,96341,320,8340000,27706,397000,8451,336,104973,312,6514000,19386,320000,4319,0.614979356872847,3.92690810170544,-35,-8632,10
"01019","Cherokee","Alabama",12464,NA,18733,NA,6,4252,NA,NA,78780,NA,NA,NA,67,39,NA,45,5619,1.07336411387713,561,124241,221,120005000,213913,1985000,9274,654,132918,203,60001000,91744,2838000,9719,1.20349557278354,3.96726709155979,-93,-8677,9
"01021","Chilton","Alabama",NA,NA,NA,1635,4102,2100,NA,1306,795,4730,NA,NA,144,88,16,NA,1123,1.82488379925183,543,91373,168,16039000,29537,296000,5286,645,100217,155,15245000,23635,322000,4537,0.510473826958627,3.72312715879569,-102,-8844,10
"01023","Choctaw","Alabama",NA,NA,595,120,NA,NA,NA,NA,NA,NA,NA,9,25,21,15,6,NA,0.868941149467629,248,68489,276,NA,NA,194000,6917,264,55016,208,11200000,42423,95000,2802,0.452180904757742,3.83991777567868,-16,13473,3
"01025","Clarke","Alabama",NA,NA,NA,109,NA,NA,NA,357,NA,1061,NA,NA,67,41,NA,17,942,1.33257657186879,263,47496,181,2594000,9862,153000,3324,321,73737,230,NA,NA,223000,3488,0.508034394899596,3.52166101511207,-58,-26241,10
